CellLine,Fusion
CCLE_001,59
CCLE_002,75
CCLE_003,119
CCLE_004,74
CCLE_005,102
CCLE_006,61
CCLE_007,124
CCLE_008,77
CCLE_009,71
CCLE_010,82
CCLE_011,91
CCLE_012,79
CCLE_013,119
CCLE_014,87
CCLE_015,99
CCLE_016,70
CCLE_017,35
CCLE_018,39
CCLE_019,99
CCLE_020,51
CCLE_021,49
CCLE_022,178
CCLE_023,71
CCLE_024,66
CCLE_025,148
CCLE_026,123
CCLE_027,135
CCLE_028,133
CCLE_029,74
CCLE_030,67
CCLE_031,186
CCLE_032,94
CCLE_033,126
CCLE_034,33
CCLE_035,168
CCLE_036,74
CCLE_037,213
CCLE_038,160
CCLE_039,121
CCLE_040,105
CCLE_041,67
CCLE_042,50
CCLE_043,50
CCLE_044,106
CCLE_045,77
CCLE_046,31
CCLE_047,122
CCLE_048,79
CCLE_049,83
CCLE_050,69
CCLE_051,70
CCLE_052,165
CCLE_053,43
CCLE_054,170
CCLE_055,97
CCLE_056,84
CCLE_057,57
CCLE_058,160
CCLE_059,50
CCLE_060,211
CCLE_061,137
CCLE_062,78
CCLE_063,74
CCLE_064,82
CCLE_065,103
CCLE_066,58
CCLE_067,85
CCLE_068,78
CCLE_069,60
CCLE_070,190
CCLE_071,66
CCLE_072,60
CCLE_073,173
CCLE_074,68
CCLE_075,165
CCLE_076,92
CCLE_077,79
CCLE_078,43
CCLE_079,36
CCLE_080,35
CCLE_081,119
CCLE_082,201
CCLE_083,70
CCLE_084,65
CCLE_085,53
CCLE_086,82
CCLE_087,162
CCLE_088,119
CCLE_089,64
CCLE_090,132
CCLE_091,106
CCLE_092,150
CCLE_093,92
CCLE_094,140
CCLE_095,77
CCLE_096,52
CCLE_097,77
CCLE_098,90
CCLE_099,81
CCLE_100,35
CCLE_101,241
CCLE_102,92
CCLE_103,181
CCLE_104,94
CCLE_105,81
CCLE_106,221
CCLE_107,171
CCLE_108,135
CCLE_109,24
CCLE_110,69
CCLE_111,93
CCLE_112,102
CCLE_113,57
CCLE_114,91
CCLE_115,100
CCLE_116,59
CCLE_117,88
CCLE_118,50
CCLE_119,81
CCLE_120,60
CCLE_121,200
CCLE_122,105
CCLE_123,29
CCLE_124,64
CCLE_125,198
CCLE_126,53
CCLE_127,107
CCLE_128,146
CCLE_129,45
CCLE_130,79
CCLE_131,488
CCLE_132,112
CCLE_133,126
CCLE_134,117
CCLE_135,60
CCLE_136,119
CCLE_137,95
CCLE_138,119
CCLE_139,108
CCLE_140,135
CCLE_141,55
CCLE_142,143
CCLE_143,42
CCLE_144,57
CCLE_145,94
CCLE_146,123
CCLE_147,35
CCLE_148,56
CCLE_149,72
CCLE_150,141
CCLE_151,152
CCLE_152,101
CCLE_153,129
CCLE_154,94
CCLE_155,72
CCLE_156,150
CCLE_157,219
CCLE_158,120
CCLE_159,140
CCLE_160,59
CCLE_161,87
CCLE_162,92
CCLE_163,109
CCLE_164,141
CCLE_165,50
CCLE_166,44
CCLE_167,154
CCLE_168,136
CCLE_169,63
CCLE_170,51
CCLE_171,110
CCLE_172,36
CCLE_173,67
CCLE_174,234
CCLE_175,143
CCLE_176,129
CCLE_177,142
CCLE_178,142
CCLE_179,122
CCLE_180,71
CCLE_181,91
CCLE_182,123
CCLE_183,31
CCLE_184,126
CCLE_185,56
CCLE_186,50
CCLE_187,65
CCLE_188,319
CCLE_189,57
CCLE_190,18
CCLE_191,60
CCLE_192,152
CCLE_193,42
CCLE_194,64
CCLE_195,99
CCLE_196,127
CCLE_197,13
CCLE_198,135
CCLE_199,107
CCLE_200,65
CCLE_201,86
CCLE_202,37
CCLE_203,144
CCLE_204,116
CCLE_205,95
CCLE_206,62
CCLE_207,37
CCLE_208,129
CCLE_209,148
CCLE_210,82
CCLE_211,241
CCLE_212,38
CCLE_213,108
CCLE_214,42
CCLE_215,65
CCLE_216,83
CCLE_217,118
CCLE_218,44
CCLE_219,65
CCLE_220,52
CCLE_221,81
CCLE_222,63
CCLE_223,39
CCLE_224,104
CCLE_225,28
CCLE_226,94
CCLE_227,107
CCLE_228,66
CCLE_229,104
CCLE_230,105
CCLE_231,49
CCLE_232,87
CCLE_233,70
CCLE_234,161
CCLE_235,54
CCLE_236,65
CCLE_237,175
CCLE_238,79
CCLE_239,89
CCLE_240,47
CCLE_241,64
CCLE_242,83
CCLE_243,220
CCLE_244,149
CCLE_245,116
CCLE_246,110
CCLE_247,32
CCLE_248,28
CCLE_249,52
CCLE_250,112
CCLE_251,262
CCLE_252,85
CCLE_253,41
CCLE_254,122
CCLE_255,143
CCLE_256,95
CCLE_257,48
CCLE_258,53
CCLE_259,77
CCLE_260,113
CCLE_261,68
CCLE_262,131
CCLE_263,66
CCLE_264,97
CCLE_265,81
CCLE_266,69
CCLE_267,63
CCLE_268,173
CCLE_269,265
CCLE_270,121
CCLE_271,547
CCLE_272,127
CCLE_273,114
CCLE_274,24
CCLE_275,76
CCLE_276,100
CCLE_277,33
CCLE_278,104
CCLE_279,90
CCLE_280,59
CCLE_281,77
