CellLine,Gene
CCLE_001,73
CCLE_002,60
CCLE_003,139
CCLE_004,91
CCLE_005,109
CCLE_006,51
CCLE_007,144
CCLE_008,72
CCLE_009,80
CCLE_010,77
CCLE_011,107
CCLE_012,87
CCLE_013,118
CCLE_014,83
CCLE_015,64
CCLE_016,65
CCLE_017,43
CCLE_018,34
CCLE_019,79
CCLE_020,54
CCLE_021,52
CCLE_022,77
CCLE_023,64
CCLE_024,54
CCLE_025,86
CCLE_026,126
CCLE_027,111
CCLE_028,81
CCLE_029,96
CCLE_030,67
CCLE_031,110
CCLE_032,66
CCLE_033,97
CCLE_034,40
CCLE_035,221
CCLE_036,76
CCLE_037,126
CCLE_038,116
CCLE_039,116
CCLE_040,100
CCLE_041,74
CCLE_042,55
CCLE_043,71
CCLE_044,76
CCLE_045,76
CCLE_046,32
CCLE_047,77
CCLE_048,46
CCLE_049,81
CCLE_050,67
CCLE_051,81
CCLE_052,130
CCLE_053,52
CCLE_054,141
CCLE_055,91
CCLE_056,72
CCLE_057,54
CCLE_058,114
CCLE_059,59
CCLE_060,159
CCLE_061,97
CCLE_062,77
CCLE_063,56
CCLE_064,114
CCLE_065,44
CCLE_066,59
CCLE_067,122
CCLE_068,54
CCLE_069,58
CCLE_070,139
CCLE_071,61
CCLE_072,70
CCLE_073,74
CCLE_074,68
CCLE_075,161
CCLE_076,84
CCLE_077,73
CCLE_078,41
CCLE_079,38
CCLE_080,34
CCLE_081,115
CCLE_082,127
CCLE_083,42
CCLE_084,83
CCLE_085,54
CCLE_086,100
CCLE_087,86
CCLE_088,129
CCLE_089,81
CCLE_090,126
CCLE_091,123
CCLE_092,173
CCLE_093,53
CCLE_094,73
CCLE_095,101
CCLE_096,52
CCLE_097,58
CCLE_098,64
CCLE_099,87
CCLE_100,45
CCLE_101,190
CCLE_102,95
CCLE_103,140
CCLE_104,120
CCLE_105,92
CCLE_106,148
CCLE_107,42
CCLE_108,89
CCLE_109,35
CCLE_110,58
CCLE_111,103
CCLE_112,71
CCLE_113,52
CCLE_114,84
CCLE_115,54
CCLE_116,71
CCLE_117,62
CCLE_118,59
CCLE_119,74
CCLE_120,66
CCLE_121,132
CCLE_122,69
CCLE_123,33
CCLE_124,54
CCLE_125,116
CCLE_126,69
CCLE_127,86
CCLE_128,139
CCLE_129,59
CCLE_130,92
CCLE_131,115
CCLE_132,94
CCLE_133,123
CCLE_134,120
CCLE_135,68
CCLE_136,129
CCLE_137,102
CCLE_138,77
CCLE_139,118
CCLE_140,119
CCLE_141,63
CCLE_142,120
CCLE_143,51
CCLE_144,76
CCLE_145,104
CCLE_146,114
CCLE_147,50
CCLE_148,61
CCLE_149,60
CCLE_150,142
CCLE_151,99
CCLE_152,77
CCLE_153,119
CCLE_154,64
CCLE_155,64
CCLE_156,105
CCLE_157,102
CCLE_158,129
CCLE_159,134
CCLE_160,84
CCLE_161,97
CCLE_162,89
CCLE_163,88
CCLE_164,129
CCLE_165,44
CCLE_166,53
CCLE_167,79
CCLE_168,89
CCLE_169,65
CCLE_170,40
CCLE_171,93
CCLE_172,46
CCLE_173,90
CCLE_174,189
CCLE_175,91
CCLE_176,113
CCLE_177,125
CCLE_178,103
CCLE_179,148
CCLE_180,73
CCLE_181,92
CCLE_182,99
CCLE_183,34
CCLE_184,92
CCLE_185,68
CCLE_186,57
CCLE_187,57
CCLE_188,198
CCLE_189,54
CCLE_190,27
CCLE_191,77
CCLE_192,97
CCLE_193,45
CCLE_194,66
CCLE_195,83
CCLE_196,102
CCLE_197,18
CCLE_198,126
CCLE_199,123
CCLE_200,60
CCLE_201,97
CCLE_202,46
CCLE_203,109
CCLE_204,75
CCLE_205,96
CCLE_206,61
CCLE_207,46
CCLE_208,125
CCLE_209,137
CCLE_210,81
CCLE_211,157
CCLE_212,58
CCLE_213,99
CCLE_214,53
CCLE_215,62
CCLE_216,76
CCLE_217,78
CCLE_218,46
CCLE_219,56
CCLE_220,53
CCLE_221,73
CCLE_222,82
CCLE_223,37
CCLE_224,106
CCLE_225,47
CCLE_226,98
CCLE_227,83
CCLE_228,66
CCLE_229,142
CCLE_230,97
CCLE_231,56
CCLE_232,127
CCLE_233,68
CCLE_234,76
CCLE_235,55
CCLE_236,69
CCLE_237,113
CCLE_238,54
CCLE_239,95
CCLE_240,66
CCLE_241,58
CCLE_242,74
CCLE_243,102
CCLE_244,114
CCLE_245,101
CCLE_246,103
CCLE_247,41
CCLE_248,34
CCLE_249,39
CCLE_250,120
CCLE_251,249
CCLE_252,98
CCLE_253,49
CCLE_254,122
CCLE_255,71
CCLE_256,91
CCLE_257,66
CCLE_258,62
CCLE_259,106
CCLE_260,130
CCLE_261,61
CCLE_262,109
CCLE_263,53
CCLE_264,88
CCLE_265,100
CCLE_266,76
CCLE_267,53
CCLE_268,188
CCLE_269,209
CCLE_270,91
CCLE_271,249
CCLE_272,103
CCLE_273,126
CCLE_274,28
CCLE_275,83
CCLE_276,68
CCLE_277,39
CCLE_278,110
CCLE_279,94
CCLE_280,67
CCLE_281,83
CCLE_282,78
CCLE_283,60
CCLE_284,69
CCLE_285,104
CCLE_286,177
CCLE_287,66
CCLE_288,102
CCLE_289,62
CCLE_290,46
CCLE_291,69
CCLE_292,54
CCLE_293,84
CCLE_294,71
CCLE_295,85
CCLE_296,70
CCLE_297,95
CCLE_298,37
CCLE_299,60
CCLE_300,95
CCLE_301,50
CCLE_302,64
CCLE_303,58
CCLE_304,50
CCLE_305,75
CCLE_306,78
CCLE_307,61
CCLE_308,35
CCLE_309,59
CCLE_310,83
CCLE_311,60
CCLE_312,103
CCLE_313,35
CCLE_314,134
CCLE_315,50
CCLE_316,160
CCLE_317,101
CCLE_318,58
CCLE_319,98
CCLE_320,71
CCLE_321,77
CCLE_322,67
CCLE_323,104
CCLE_324,65
CCLE_325,142
CCLE_326,38
CCLE_327,106
CCLE_328,78
CCLE_329,67
CCLE_330,91
CCLE_331,87
CCLE_332,57
CCLE_333,74
CCLE_334,48
CCLE_335,66
CCLE_336,73
CCLE_337,60
CCLE_338,103
CCLE_339,111
CCLE_340,55
CCLE_341,133
CCLE_342,183
CCLE_343,93
CCLE_344,61
CCLE_345,81
CCLE_346,120
CCLE_347,79
CCLE_348,132
CCLE_349,92
CCLE_350,69
CCLE_351,65
CCLE_352,92
CCLE_353,66
CCLE_354,42
CCLE_355,59
CCLE_356,28
CCLE_357,61
CCLE_358,69
CCLE_359,60
CCLE_360,88
CCLE_361,53
CCLE_362,102
CCLE_363,51
CCLE_364,66
CCLE_365,163
CCLE_366,80
CCLE_367,139
CCLE_368,69
CCLE_369,77
CCLE_370,113
CCLE_371,47
CCLE_372,151
CCLE_373,84
CCLE_374,55
CCLE_375,190
CCLE_376,91
CCLE_377,33
CCLE_378,157
CCLE_379,56
CCLE_380,180
CCLE_381,99
CCLE_382,81
CCLE_383,83
