Gene,Fusion
AHNAK,9113
BSCL2,9113
HNRNPUL2-BSCL2,9113
C15ORF57,8400
CBX3,12397
DHRS1,6514
RABGGTA,6514
MYO5A,8400
IGF2,9113
TNNT1,8481
CALR,8481
ARHGEF17,9113
MCAM,9113
BZW1,9803
LAMA5,2888
CCM2,12397
SEC31A,2237
DYNC1H1,6514
EIF3A,2967
ENAH,14499
ARID1B,3150
FAM120A,4233
CFAP20,5049
GSE1,5049
SF1,9113
ILF3,8481
SFPQ,14499
IMPAD1,5194
MAPK8IP3,5049
KDM2B,7911
CDKN2C,14499
LRRC47,14499
MALT1,1207
MAP3K3,10750
NCL,9803
MCC,3555
RABL6,4233
METTL13,14499
POLR2E,8481
MYEOV,9113
UNC13A,8481
PGAM5,7911
GFRA2,5194
PGM3,3150
FGD5-AS1,3979
PKNOX2,9113
GSN,4233
POLR2J4,12397
TUBB6,1207
RGS12,2237
MPHOSPH8,1058
SDK2,10750
EHBP1L1,9113
SLC1A5,8481
HDAC4,9803
SNX32,9113
FLNB,3979
SPEN,14499
ELF1,1058
SRSF5,6514
MLEC,7911
STK11,8481
IGF2R,3150
TCF7L2,2967
UBE2D3,2237
TMEFF1,4233
VAT1,10750
UBA5,3979
FNBP1,4233
VCP,4233
VGF,12397
ZYX,12397
MORC2,3475
C11ORF30,9113
PRKRIR,9113
PHACTR4,14499
SMPDL3B,14499
ARHGAP32,9113
KCNJ1,9113
GRM5,9113
DAP3,14499
YY1AP1,14499
HN1,10750
NT5C,10750
SUMO1,9803
AC079354.5,9803
ADORA2B,10750
TTC19,10750
EYA3,14499
ZBTB8A,14499
ZC3H7A,5049
BCAR4,5049
POLA2,9113
CDC42EP2,9113
APP,1907
CCAT1,5194
CASC19,5194
DPP8,8400
RPL24P4,3150
ABALON,2888
TPX2,2888
ANP32B,4233
PTMA,9803
NRL,6514
DHRS4-AS1,6514
NXPH4,7911
SHMT2,7911
SMG1P3,5049
EEF2K,5049
CCND3,3150
PKM,8400
FTH1,9113
S100A11,14499
KRT19,10750
KRT18,7911
LMNA,14499
KRT8,7911
PABPC1,5194
TUBB4B,4233
PCK2,6514
PHLDA1,7911
EGR1,3555
SLC2A1,14499
ACTB,12397
UBE2G1,10750
ANKFY1,10750
ZNF718,2237
ZNF876P,2237
DNMT1,8481
KEAP1,8481
PSMD3,10750
PPP1R1B,10750
SMYD3,14499
ZNF670-ZNF695,14499
ZNF695,14499
PRRC2B,4233
PLPP7,4233
RANBP1,3475
TANGO2,3475
ASCC1,2967
MICU1,2967
RBM14,9113
PACS1,9113
CDCA4,6514
JAG2,6514
CORO7,5049
VPS13D,14499
PRMT7,5049
SLC7A6,5049
RRBP1,2888
OVOL2,2888
LHFPL2,3555
ARSB,3555
CORO7-PAM16,5049
NAP1L4,9113
GPBP1,3555
RASA2,3979
PXYLP1,3979
SMG5,14499
PAQR6,14499
RAB11FIP3,5049
TUBB3,5049
AXIN1,5049
LMF1,5049
PSPC1,1058
FAM179A,9803
NUDT3,3150
BRPF3,3150
GRHL2,5194
NCALD,5194
CLTB,3555
NOP16,3555
ZNF236,1207
ZNF516,1207
AZGP1,12397
GJC3,12397
ARFIP1,2237
FHDC1,2237
NAA40,9113
C11ORF84,9113
THRAP3,14499
AGO3,14499
PPP1R16A,5194
ADGRB1,5194
C11ORF80,9113
CCS,9113
GNAI2,3979
RBM6,3979
FRYL,2237
OCIAD2,2237
GMDS,3150
PDE8B,3555
IL6R,14499
ATP8B2,14499
RGS3,4233
SLC31A2,4233
STYXL1,12397
GTF2IP7,12397
DNAJB6,12397
AC006372.4,12397
DSCC1,5194
TAF2,5194
EZH2,12397
PSD3,5194
CENPI,3226
TMEM35,3226
INTS4,9113
GAB2,9113
CTPS1,14499
SLFNL1-AS1,14499
LHX6,4233
NDUFA8,4233
MIR646HG,2888
CDH26,2888
NDRG4,5049
SETD6,5049
PDZRN3,3979
DCSTAMP,5194
SETD7,2237
NDUFC1,2237
SNX6,6514
BAZ1A,6514
CSNK1E,3475
ZBTB25,6514
EEF2,8481
KRT23,10750
LINC00665,8481
HKR1,8481
NDUFB8,2967
SEC31B,2967
PUS10,9803
AC010733.5,9803
SIDT2,9113
TAGLN,9113
SNX30,4233
KIAA1958,4233
TTC39A,14499
NRD1,14499
UBE2J2,14499
FAM132A,14499
AARD,5194
LRRC75A,10750
FOXRED2,3475
TXN2,3475
GNAI3,14499
GNAS,2888
LY6E,5194
ODF2,4233
DNM1,4233
PKN1,8481
STARD3,10750
SFXN1,3555
ATP5C1,2967
TMED4,12397
MYO1G,12397
TSC2,5049
XX-DJ76P10__A.2,5049
WRB,1907
SH3BGR,1907
ZNF620,3979
PBRM1,3979
MARS,7911
AVIL,7911
MET,12397
CAV2,12397
LRP1,7911
INVS,4233
HSD17B3,4233
LINC00545,1058
MEDAG,1058
FOXO1,1058
PAX3,9803
SEPT9,10750
VMP1,10750
PEMT,10750
IFT20,10750
USP32,10750
PTRH2,10750
MAD1L1,12397
MROH3P,14499
LINC01134,14499
