ID	CELL_LINE	DISEASE	DISEASE_NAME
CCLE_001 	TE441T	SARC	Sarcoma
CCLE_002 	SNU1196	LIHC	Liver hepatocellular carcinoma
CCLE_003 	HCC2157	BRCA	Breast invasive carcinoma
CCLE_004 	RH30	SARC	Sarcoma
CCLE_005 	PATU8988T	PAAD	Pancreatic adenocarcinoma
CCLE_006 	MELHO	SKCM	Skin Cutaneous Melanoma
CCLE_007 	OAW28	OV	Ovarian serous cystadenocarcinoma
CCLE_008 	AsPC1	PAAD	Pancreatic adenocarcinoma
CCLE_009 	OV90	OV	Ovarian serous cystadenocarcinoma
CCLE_010 	GP2d	COAD	Colon adenocarcinoma
CCLE_011 	OUMS23	COAD	Colon adenocarcinoma
CCLE_012 	K562	LCLL	Chronic Lymphocytic Leukemia
CCLE_013 	NCIH810	LUSC	Lung squamous cell carcinoma
CCLE_014 	T84	COAD	Colon adenocarcinoma
CCLE_015 	HEC265	CESC	Cervical squamous cell carcinoma and endocervical adenocarcinoma
CCLE_016 	IMR32	LGG	Brain Lower Grade Glioma
CCLE_017 	SNUC5	COAD	Colon adenocarcinoma
CCLE_018 	VMRCRCW	KIRC	Kidney renal clear cell carcinoma
CCLE_019 	GCT	SARC	Sarcoma
CCLE_020 	Hs698T	COAD	Colon adenocarcinoma
CCLE_021 	UO31	KIRC	Kidney renal clear cell carcinoma
CCLE_022 	HCC1438	LUSC	Lung squamous cell carcinoma
CCLE_023 	LS180	COAD	Colon adenocarcinoma
CCLE_024 	JHUEM2	CESC	Cervical squamous cell carcinoma and endocervical adenocarcinoma
CCLE_025 	NCIH1703	LUSC	Lung squamous cell carcinoma
CCLE_026 	PATU8902	PAAD	Pancreatic adenocarcinoma
CCLE_027 	SIMA	LGG	Brain Lower Grade Glioma
CCLE_028 	HPAFII	PAAD	Pancreatic adenocarcinoma
CCLE_029 	JURKAT	LCLL	Chronic Lymphocytic Leukemia
CCLE_030 	SW1573	LUSC	Lung squamous cell carcinoma
CCLE_031 	HCC15	LUSC	Lung squamous cell carcinoma
CCLE_032 	MONOMAC1	LCLL	Chronic Lymphocytic Leukemia
CCLE_033 	SF539	LGG	Brain Lower Grade Glioma
CCLE_034 	SW48	COAD	Colon adenocarcinoma
CCLE_035 	SCLC21H	LUSC	Lung squamous cell carcinoma
CCLE_036 	HT1376	BLCA	Bladder Urothelial Carcinoma
CCLE_037 	NUDHL1	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
