Cell Line,Gene
CCLE_001,2
CCLE_001,4
CCLE_001,6
CCLE_001,8
CCLE_001,10
CCLE_001,10
CCLE_001,12
CCLE_001,14
CCLE_001,16
CCLE_001,18
CCLE_001,18
CCLE_001,20
CCLE_001,20
CCLE_001,22
CCLE_001,24
CCLE_001,26
CCLE_001,28
CCLE_001,28
CCLE_001,30
CCLE_001,32
CCLE_001,32
CCLE_001,32
CCLE_001,32
CCLE_001,34
CCLE_001,36
CCLE_001,38
CCLE_001,38
CCLE_001,38
CCLE_001,38
CCLE_001,38
CCLE_001,38
CCLE_001,40
CCLE_001,40
CCLE_001,42
CCLE_001,44
CCLE_001,44
CCLE_001,44
CCLE_001,44
CCLE_001,46
CCLE_001,46
CCLE_001,46
CCLE_001,48
CCLE_001,50
CCLE_001,52
CCLE_001,52
CCLE_001,54
CCLE_001,54
CCLE_001,56
CCLE_001,58
CCLE_001,60
CCLE_001,62
CCLE_001,64
CCLE_001,64
CCLE_001,66
CCLE_001,68
CCLE_001,70
CCLE_001,70
CCLE_001,72
CCLE_001,73
CCLE_002,2
CCLE_002,4
CCLE_002,6
CCLE_002,6
CCLE_002,6
CCLE_002,6
CCLE_002,6
CCLE_002,6
CCLE_002,6
CCLE_002,6
CCLE_002,6
CCLE_002,6
CCLE_002,6
CCLE_002,6
CCLE_002,8
CCLE_002,8
CCLE_002,10
CCLE_002,12
CCLE_002,12
CCLE_002,13
CCLE_002,15
CCLE_002,15
CCLE_002,17
CCLE_002,19
CCLE_002,19
CCLE_002,19
CCLE_002,21
CCLE_002,21
CCLE_002,23
CCLE_002,25
CCLE_002,27
CCLE_002,27
CCLE_002,29
CCLE_002,29
CCLE_002,31
CCLE_002,33
CCLE_002,33
CCLE_002,33
CCLE_002,33
CCLE_002,35
CCLE_002,35
CCLE_002,35
CCLE_002,37
CCLE_002,39
CCLE_002,41
CCLE_002,43
CCLE_002,45
CCLE_002,47
CCLE_002,49
CCLE_002,49
CCLE_002,51
CCLE_002,51
CCLE_002,51
CCLE_002,51
CCLE_002,51
CCLE_002,51
CCLE_002,51
CCLE_002,51
CCLE_002,51
CCLE_002,51
CCLE_002,53
CCLE_002,53
CCLE_002,53
CCLE_002,55
CCLE_002,55
CCLE_002,55
CCLE_002,57
CCLE_002,57
CCLE_002,57
CCLE_002,59
CCLE_002,60
CCLE_002,60
CCLE_002,60
CCLE_002,60
CCLE_002,60
CCLE_003,2
CCLE_003,2
CCLE_003,4
CCLE_003,6
CCLE_003,6
CCLE_003,8
CCLE_003,8
CCLE_003,8
CCLE_003,10
CCLE_003,12
CCLE_003,14
CCLE_003,16
CCLE_003,17
CCLE_003,17
CCLE_003,19
CCLE_003,21
CCLE_003,23
CCLE_003,23
CCLE_003,23
CCLE_003,25
CCLE_003,27
CCLE_003,29
CCLE_003,31
CCLE_003,33
CCLE_003,35
CCLE_003,35
CCLE_003,35
CCLE_003,37
CCLE_003,39
CCLE_003,39
CCLE_003,39
CCLE_003,40
CCLE_003,42
CCLE_003,44
CCLE_003,44
CCLE_003,44
CCLE_003,44
CCLE_003,46
CCLE_003,48
CCLE_003,50
CCLE_003,50
CCLE_003,52
CCLE_003,52
CCLE_003,54
CCLE_003,56
CCLE_003,58
CCLE_003,60
CCLE_003,62
CCLE_003,62
CCLE_003,64
CCLE_003,66
CCLE_003,68
CCLE_003,70
CCLE_003,72
CCLE_003,74
CCLE_003,76
CCLE_003,78
CCLE_003,80
CCLE_003,82
CCLE_003,82
CCLE_003,82
CCLE_003,82
CCLE_003,84
CCLE_003,84
CCLE_003,86
CCLE_003,88
CCLE_003,88
CCLE_003,88
CCLE_003,90
CCLE_003,90
CCLE_003,90
CCLE_003,92
CCLE_003,94
CCLE_003,96
CCLE_003,98
CCLE_003,98
CCLE_003,98
CCLE_003,98
CCLE_003,100
CCLE_003,102
CCLE_003,104
CCLE_003,106
CCLE_003,108
CCLE_003,108
CCLE_003,108
CCLE_003,110
CCLE_003,110
CCLE_003,112
CCLE_003,112
CCLE_003,114
CCLE_003,116
CCLE_003,116
CCLE_003,118
CCLE_003,118
CCLE_003,118
CCLE_003,120
CCLE_003,120
CCLE_003,120
CCLE_003,122
CCLE_003,122
CCLE_003,123
CCLE_003,123
CCLE_003,125
CCLE_003,125
CCLE_003,127
CCLE_003,127
CCLE_003,129
CCLE_003,129
CCLE_003,129
CCLE_003,129
CCLE_003,129
CCLE_003,129
CCLE_003,131
CCLE_003,133
CCLE_003,133
CCLE_003,135
CCLE_003,136
CCLE_003,137
CCLE_003,139
CCLE_004,2
CCLE_004,4
CCLE_004,6
CCLE_004,8
CCLE_004,8
CCLE_004,8
CCLE_004,10
CCLE_004,12
CCLE_004,14
CCLE_004,15
CCLE_004,17
CCLE_004,17
CCLE_004,19
CCLE_004,19
CCLE_004,21
CCLE_004,23
CCLE_004,25
CCLE_004,27
CCLE_004,29
CCLE_004,31
CCLE_004,31
CCLE_004,33
CCLE_004,35
CCLE_004,37
CCLE_004,39
CCLE_004,40
CCLE_004,40
CCLE_004,41
CCLE_004,43
CCLE_004,44
CCLE_004,45
CCLE_004,47
CCLE_004,48
CCLE_004,50
CCLE_004,52
CCLE_004,54
CCLE_004,56
CCLE_004,58
CCLE_004,58
CCLE_004,58
CCLE_004,60
CCLE_004,62
CCLE_004,63
CCLE_004,65
CCLE_004,65
CCLE_004,66
CCLE_004,66
CCLE_004,68
CCLE_004,68
CCLE_004,68
CCLE_004,68
CCLE_004,70
CCLE_004,72
CCLE_004,72
CCLE_004,72
CCLE_004,74
CCLE_004,76
CCLE_004,76
CCLE_004,78
CCLE_004,78
CCLE_004,80
CCLE_004,80
CCLE_004,80
CCLE_004,82
CCLE_004,82
CCLE_004,82
CCLE_004,84
CCLE_004,84
CCLE_004,84
CCLE_004,86
CCLE_004,86
CCLE_004,88
CCLE_004,90
CCLE_004,91
CCLE_005,2
CCLE_005,4
CCLE_005,6
CCLE_005,8
CCLE_005,10
CCLE_005,10
CCLE_005,12
CCLE_005,14
CCLE_005,14
CCLE_005,16
CCLE_005,16
CCLE_005,18
CCLE_005,20
CCLE_005,20
CCLE_005,20
CCLE_005,22
CCLE_005,24
